seed,kinematic_rank,variant,requested_capture_time_s,executed_capture_time_s,terminal_arm_angle_rad,acceptance_passed,replay_integrity_passed,qualified,failed_acceptance_checks,maximum_base_angular_velocity_rad_s,rms_base_angular_velocity_rad_s,maximum_base_orientation_drift_rad,terminal_position_error_m,terminal_orientation_error_rad,terminal_arm_angle_error_rad,minimum_clearance_m,torque_saturation_fraction,metrics_path,metrics_sha256,validation_path,validation_sha256,seed_contract_passed
6,1,no-base-reaction,13.320103974692323,13.32,2.897406507648267,True,True,True,[],0.0782695376502388,0.021936578504141463,0.06450496714278758,7.844550962229919e-06,1.6179554379904032e-05,0.0005116142280425784,0.17437243583454404,0.0,E:\桌面\力位形混合控制\output\fpmfc\precontact\n073_controller_ablation_rk4_formal_planning45\seed_06\no_base_reaction\metrics.json,77d12d88eab1704e89e6268392e55ab0bf2a4635a1586ccbefa02e42de6064ea,E:\桌面\力位形混合控制\output\fpmfc\precontact\n073_controller_ablation_rk4_formal_planning45\seed_06\no_base_reaction\validation.json,a799a36e909c8d71ae4996e222b592b7fc56d9b904f4300cc2ca987363abb64b,True
7,1,full,12.408726280462089,12.408,2.786538400916744,True,True,True,[],0.08159907100159336,0.022753195721332276,0.05563140284974584,9.242011770480853e-06,1.9349070855733865e-05,0.0016745862238916054,0.2068545479327899,0.0,E:\桌面\力位形混合控制\output\fpmfc\precontact\n073_controller_ablation_rk4_formal_planning45\seed_07\full\metrics.json,48d3de348adab978ab5c16f2d036a28b6eb802d45cdc27a1d8437dce6933eed4,E:\桌面\力位形混合控制\output\fpmfc\precontact\n073_controller_ablation_rk4_formal_planning45\seed_07\full\validation.json,f622fb24803ab5057a3b30734c8fee458526d9787a2e77bb5d6bcdb6f8b77917,True
7,1,no-shape,12.408726280462089,12.408,2.786538400916744,False,True,False,"['terminal_position_error', 'terminal_shape_error']",0.08079505519880842,0.016998012161679694,0.07938470700474107,0.004800465616975816,0.0003259674402431567,1.8373961562685448,0.16972170852658955,0.0,E:\桌面\力位形混合控制\output\fpmfc\precontact\n073_controller_ablation_rk4_formal_planning45\seed_07\no_shape\metrics.json,8b9a09a4833f8a548a5b7ccad8244e9d11107c4d2720276847876941546e9813,E:\桌面\力位形混合控制\output\fpmfc\precontact\n073_controller_ablation_rk4_formal_planning45\seed_07\no_shape\validation.json,c6c2a289624d4841e2f6280a658fa7780db6753a0915a855d076c284a8c36f74,True
7,1,no-base-reaction,12.408726280462089,12.408,2.786538400916744,True,True,True,[],0.08155265804254688,0.022745140526330084,0.05558005894847882,9.254943958889892e-06,1.9353183098419716e-05,0.0018929934238185453,0.204821311217547,0.0,E:\桌面\力位形混合控制\output\fpmfc\precontact\n073_controller_ablation_rk4_formal_planning45\seed_07\no_base_reaction\metrics.json,4540e46b1005af2c6880b9a1e8f5b23f5e228d91621a61b1a34dae04471fdc11,E:\桌面\力位形混合控制\output\fpmfc\precontact\n073_controller_ablation_rk4_formal_planning45\seed_07\no_base_reaction\validation.json,7e3ffd6ec017d0e6fb4483c9b126a51e8afa49255ee4f78910275b93f322b590,True
8,1,full,12.962271726115004,12.962,2.846551222324965,True,True,True,[],0.08034166734097527,0.022152411555120568,0.06053403171876556,8.31495284740274e-06,1.732528807807996e-05,0.0011528511033884747,0.18574686655729836,0.0,E:\桌面\力位形混合控制\output\fpmfc\precontact\n073_controller_ablation_rk4_formal_planning45\seed_08\full\metrics.json,2d19bf26e6f36a152748c3866cfa82f6bb2454304d8c0d3034a798e6f7c2e36c,E:\桌面\力位形混合控制\output\fpmfc\precontact\n073_controller_ablation_rk4_formal_planning45\seed_08\full\validation.json,0e5adfbf0a816979110246c41c219ebef0d56185a2fce433730b121c96977539,True
8,1,no-shape,12.962271726115004,12.962,2.846551222324965,False,True,False,"['terminal_position_error', 'terminal_shape_error', 'terminal_linear_speed', 'terminal_angular_speed']",0.0775075914020848,0.02781694606781577,0.09559930313865457,0.14162599943431883,0.0032539097300614615,0.7845428463638866,0.23032548437246952,0.0,E:\桌面\力位形混合控制\output\fpmfc\precontact\n073_controller_ablation_rk4_formal_planning45\seed_08\no_shape\metrics.json,fb7261e9076442c41fe7babdba1559498798160c79736de510a948df29e522f8,E:\桌面\力位形混合控制\output\fpmfc\precontact\n073_controller_ablation_rk4_formal_planning45\seed_08\no_shape\validation.json,58837b892509475c1e57f69e0671912c061c81345d1fee1f9d483a56e0c2549d,True
8,1,no-base-reaction,12.962271726115004,12.962,2.846551222324965,True,True,True,[],0.08034634491541902,0.02215138287807989,0.06055321054254113,8.313075913401765e-06,1.732451865584984e-05,0.0011195289543741715,0.18574938025914528,0.0,E:\桌面\力位形混合控制\output\fpmfc\precontact\n073_controller_ablation_rk4_formal_planning45\seed_08\no_base_reaction\metrics.json,19d2d99ff9995a4695763867fa934d7ee83171719167c6ac488c695d6b8f6fba,E:\桌面\力位形混合控制\output\fpmfc\precontact\n073_controller_ablation_rk4_formal_planning45\seed_08\no_base_reaction\validation.json,58359cd54fe444982b055627e1bfb8e25853dbb16bf117555685f402dbad23de,True
9,1,full,12.744248306183614,12.744,2.819841001966392,True,True,True,[],0.08046962661347984,0.022375547756308668,0.05855317575922507,8.651967456658309e-06,1.808412861046406e-05,0.001513454722311458,0.19052301626441417,0.0,E:\桌面\力位形混合控制\output\fpmfc\precontact\n073_controller_ablation_rk4_formal_planning45\seed_09\full\metrics.json,1534c672eb54521a36b94b8812d6275c9fe9e5596f0ce7eba07cfeaab4cbe9e8,E:\桌面\力位形混合控制\output\fpmfc\precontact\n073_controller_ablation_rk4_formal_planning45\seed_09\full\validation.json,e441e0a52c0a06687bcf447fc75f8e14db1795cb4544c85a0588af0e6d1e9d8c,True
9,1,no-shape,12.744248306183614,12.744,2.819841001966392,False,True,False,"['terminal_position_error', 'terminal_shape_error']",0.07906625083832378,0.0194491766217278,0.07948658251176784,0.006082693042939319,0.0003836781962438985,1.7533978672093982,0.13453659915373392,0.0,E:\桌面\力位形混合控制\output\fpmfc\precontact\n073_controller_ablation_rk4_formal_planning45\seed_09\no_shape\metrics.json,a303d81d1301c87d9fd077f6d90d9c083e2b1178fc0b7db4323e0a5a5b8dac62,E:\桌面\力位形混合控制\output\fpmfc\precontact\n073_controller_ablation_rk4_formal_planning45\seed_09\no_shape\validation.json,133cfa26ad2c039cfdb6c7345f673f7b52b9e46d42f2c4d4965e06617616813a,True
9,1,no-base-reaction,12.744248306183614,12.744,2.819841001966392,True,True,True,[],0.08048555147975311,0.022372131908942633,0.058622681882519664,8.64029948421796e-06,1.808003367178218e-05,0.0013188507683090656,0.19028917335266912,0.0,E:\桌面\力位形混合控制\output\fpmfc\precontact\n073_controller_ablation_rk4_formal_planning45\seed_09\no_base_reaction\metrics.json,4363480b2d9e92616c2e06539138132baa590ffae0f43160abc3780e6b926168,E:\桌面\力位形混合控制\output\fpmfc\precontact\n073_controller_ablation_rk4_formal_planning45\seed_09\no_base_reaction\validation.json,e7acad6d4a93ed7145dcd3d8783797f2e38f61a07ef1caddefea9bd81d23e5b5,True
